_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_FRIEDHOEFE_1;49;Alter Friedhof Wandsbek v.1850;Kirchhofstraße 14;Kirchhofstraße 14;71;Friedhöfe;Wandsbek;Wandsbek;507;552;01.10.25;1,7881;;Privat;Privat (Kirche);POLYGON ((10.068120 53.579208,10.068834 53.579290,10.069405 53.579345,10.069458 53.579321,10.069834 53.577553,10.069797 53.577516,10.068672 53.577295,10.068585 53.577594,10.068367 53.578350,10.068120 53.579208));EPSG:4326
DE.HH.UP_FRIEDHOEFE_2;61;Jüdischer Friedhof Königsreihe;Königsreihe;Königsreihe;71;Friedhöfe;Wandsbek;Wandsbek;505;552;01.10.25;0,4894;;Privat;Privat (Jüdische Gmd HH);POLYGON ((10.068040 53.575330,10.068108 53.575110,10.068134 53.575030,10.068169 53.574993,10.068186 53.574942,10.068217 53.574847,10.067804 53.574785,10.067739 53.574775,10.067538 53.574758,10.067390 53.574752,10.066884 53.574753,10.066878 53.574776,10.066767 53.575252,10.066817 53.575260,10.066826 53.575261,10.066986 53.575287,10.067058 53.575300,10.067080 53.575250,10.067090 53.575226,10.067125 53.575197,10.067182 53.575209,10.067226 53.575221,10.067254 53.575230,10.067309 53.575244,10.067378 53.575261,10.067578 53.575290,10.067793 53.575311,10.067854 53.575315,10.067914 53.575319,10.068030 53.575330,10.068040 53.575330));EPSG:4326
DE.HH.UP_FRIEDHOEFE_3;116;Jüdischer Friedhof Schwarzenberg;Schwarzenbergstraße;Schwarzenbergstraße;71;Friedhöfe;Harburg;Harburg;701;709;01.10.25;0,1959;;Privat;Privat (Jüdische Gmd HH);POLYGON ((9.973530 53.463963,9.973527 53.463962,9.973153 53.464345,9.973635 53.464501,9.973664 53.464482,9.974084 53.464209,9.974079 53.464182,9.973530 53.463963));EPSG:4326
DE.HH.UP_FRIEDHOEFE_4;111;Neuer Friedhof Bergedorf;August-Bebel-Straße;August-Bebel-Straße;70;Friedhöfe;Bergedorf;Bergedorf;603;603;01.10.25;13,5232;;FHH;Stadtgrün;POLYGON ((10.249550 53.478887,10.249823 53.478783,10.249917 53.478826,10.250239 53.478573,10.249511 53.478249,10.249308 53.477720,10.248169 53.477848,10.246891 53.477992,10.243398 53.478541,10.243398 53.478541,10.243276 53.478510,10.241408 53.478821,10.240891 53.478892,10.240934 53.478939,10.240934 53.478939,10.241532 53.479594,10.242962 53.481295,10.243181 53.481243,10.246759 53.480384,10.247054 53.480315,10.247510 53.480206,10.247939 53.480105,10.247980 53.480094,10.248035 53.480079,10.248103 53.480059,10.248166 53.480039,10.248221 53.480020,10.248265 53.480004,10.248326 53.479981,10.248377 53.479961,10.248430 53.479937,10.248479 53.479913,10.248516 53.479892,10.248539 53.479878,10.248562 53.479864,10.248617 53.479834,10.248664 53.479803,10.248715 53.479770,10.248747 53.479746,10.248788 53.479717,10.248821 53.479689,10.249369 53.479258,10.249273 53.479214,10.249359 53.479146,10.249325 53.479131,10.249481 53.479008,10.249445 53.478991,10.249550 53.478887));EPSG:4326
DE.HH.UP_FRIEDHOEFE_5;307;Friedhof Finkenriek;Finkenriek;Finkenriek;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;147;01.10.25;0,1073;;FHH;Stadtgrün;POLYGON ((10.007579 53.479772,10.006899 53.479827,10.006860 53.479900,10.006862 53.480006,10.007500 53.480004,10.007581 53.480003,10.007579 53.479772));EPSG:4326
DE.HH.UP_FRIEDHOEFE_6;208;Friedhof Bergstedt;Bergstedter Chaussee;Bergstedter Chaussee;71;Friedhöfe;Wandsbek;Bergstedt;524;538;01.10.25;8,8458;;Privat;Privat (Kirche);POLYGON ((10.128556 53.670623,10.128911 53.670568,10.129388 53.670496,10.129447 53.670487,10.129909 53.670418,10.129821 53.670247,10.130251 53.670185,10.130489 53.670151,10.130795 53.670106,10.130854 53.670098,10.130606 53.669607,10.131259 53.669505,10.131931 53.669399,10.132027 53.669431,10.131456 53.668302,10.131381 53.668153,10.130801 53.668153,10.129788 53.668162,10.128622 53.668170,10.128187 53.668174,10.127335 53.668182,10.127300 53.668182,10.127298 53.668058,10.126758 53.668062,10.126742 53.668092,10.126698 53.668173,10.125791 53.668176,10.125774 53.668192,10.125748 53.668254,10.125692 53.668406,10.125991 53.668390,10.126217 53.668843,10.126331 53.669072,10.126449 53.669308,10.126550 53.669509,10.126732 53.669873,10.126841 53.670090,10.126629 53.670112,10.126667 53.670202,10.126709 53.670303,10.126686 53.670307,10.126710 53.670443,10.126747 53.670529,10.126727 53.670533,10.126719 53.670535,10.126736 53.670568,10.126769 53.670633,10.126896 53.670883,10.126936 53.670915,10.127000 53.670945,10.127116 53.670968,10.127240 53.670982,10.127359 53.670985,10.128464 53.670924,10.128622 53.670916,10.128661 53.670914,10.128660 53.670913,10.128556 53.670623));EPSG:4326
DE.HH.UP_FRIEDHOEFE_7;502;Friedhof Stellingen;Molkenbuhrstraße;Molkenbuhrstraße;71;Friedhöfe;Eimsbüttel;Stellingen;321;0;01.10.25;1,3661;;Privat;Privat (Kirche);POLYGON ((9.927873 53.590749,9.927902 53.590413,9.927919 53.590188,9.927922 53.590130,9.927896 53.589915,9.927232 53.589641,9.926601 53.590163,9.925459 53.589716,9.925343 53.589671,9.925219 53.589867,9.925156 53.589968,9.925017 53.590206,9.925137 53.590246,9.925179 53.590261,9.925449 53.590351,9.926180 53.590595,9.926269 53.590624,9.926649 53.590739,9.926913 53.590428,9.927873 53.590749));EPSG:4326
DE.HH.UP_FRIEDHOEFE_8;446;Friedhof Finkenriek;König-Georg-Deich;König-Georg-Deich;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;0;01.10.25;1,5254;;FHH;Stadtgrün;POLYGON ((10.003147 53.474214,10.003114 53.474197,10.002185 53.474272,10.002008 53.474290,10.001983 53.474294,10.001989 53.474316,10.002002 53.474359,10.002043 53.474514,10.001660 53.474570,10.001662 53.474573,10.001668 53.474763,10.001668 53.474769,10.001707 53.474893,10.001626 53.474902,10.001236 53.474945,10.001307 53.475086,10.001602 53.475669,10.001721 53.475624,10.001731 53.475620,10.001843 53.475580,10.001960 53.475546,10.002082 53.475517,10.002165 53.475500,10.002250 53.475486,10.002529 53.475448,10.002809 53.475416,10.003092 53.475390,10.003210 53.475381,10.003335 53.475373,10.003319 53.475212,10.003275 53.474767,10.003270 53.474710,10.003247 53.474479,10.003225 53.474255,10.003147 53.474214));EPSG:4326
DE.HH.UP_FRIEDHOEFE_9;447;Friedhof Finkenriek;König-Georg-Deich;König-Georg-Deich;70;Friedhöfe;Hamburg-Mitte;Wilhelmsburg;136;0;01.10.25;7,0166;;FHH;Stadtgrün;POLYGON ((10.008493 53.475450,10.008844 53.475204,10.009073 53.475089,10.009484 53.474915,10.009684 53.474850,10.010151 53.474766,10.010377 53.474740,10.010464 53.474430,10.010481 53.474372,10.007775 53.473946,10.007331 53.473884,10.006817 53.473853,10.006329 53.473879,10.006230 53.473900,10.005618 53.474029,10.005602 53.474065,10.005595 53.474082,10.005562 53.474120,10.005521 53.474150,10.005468 53.474172,10.005413 53.474186,10.005352 53.474191,10.005293 53.474188,10.005238 53.474177,10.005190 53.474159,10.005091 53.474107,10.005052 53.474093,10.005005 53.474080,10.004952 53.474070,10.004900 53.474064,10.004829 53.474063,10.003435 53.474188,10.003398 53.474216,10.003420 53.474458,10.003506 53.475367,10.003530 53.475366,10.003702 53.475365,10.003874 53.475368,10.004045 53.475376,10.004215 53.475388,10.004459 53.475411,10.004701 53.475439,10.004941 53.475472,10.005179 53.475509,10.007547 53.475910,10.007657 53.475929,10.007717 53.475832,10.007746 53.475786,10.008031 53.475683,10.008072 53.475668,10.008493 53.475450));EPSG:4326
DE.HH.UP_FRIEDHOEFE_10;623;Heidefriedhof Neugraben;Falkenbergsweg;Falkenbergsweg;70;Friedhöfe;Harburg;Hausbruch;714;0;01.10.25;15,1307;;FHH;Stadtgrün;POLYGON ((9.869743 53.450726,9.869928 53.450388,9.870888 53.450367,9.871887 53.450228,9.872943 53.450082,9.873595 53.449992,9.874240 53.448224,9.873598 53.446003,9.872306 53.446209,9.871658 53.446373,9.870979 53.446540,9.870754 53.446607,9.869992 53.446635,9.869822 53.446656,9.869480 53.446713,9.869449 53.446798,9.869015 53.448025,9.868509 53.449342,9.868284 53.449944,9.868093 53.450458,9.868079 53.450497,9.868191 53.450490,9.868609 53.450464,9.868992 53.450441,9.869439 53.450413,9.869352 53.450682,9.868883 53.450726,9.868606 53.450736,9.868548 53.451211,9.869296 53.451459,9.869639 53.450733,9.869743 53.450726));EPSG:4326
