_fid;zaehlstelle;bezeichnung;richtung;jahr;dtv_kfz;dtvw_kfz;sv_anteil_dtvw;sv_anteil_dtv;geom;coordinate_reference_system
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11300;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2008;51900;56900;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11301;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2009;51500;56400;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11302;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2010;51100;56200;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11303;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2011;52300;57300;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11304;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2012;50300;55200;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11305;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2013;51600;56300;6;6;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11306;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2014;52600;57200;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11307;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2015;51200;55600;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11308;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2016;51300;55500;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11309;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2017;51600;55900;4;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11310;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2018;51500;55800;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11311;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2019;51100;55600;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11312;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2020;42000;46100;5;5;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11313;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2021;39300;43000;6;5;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11314;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2022;46700;50100;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11315;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2023;48100;51900;5;4;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11316;0101930;Krohnstieg NO Garstedter Weg T371 DP3233;Querschnitt;2024;48800;52300;4;3;POINT (564489.000000 5944555.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11317;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2008;11200;12500;7;6;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11318;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2009;11200;12500;7;6;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11319;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2010;10900;12200;7;7;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11320;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2011;11300;12600;7;7;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11321;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2012;11200;12600;7;7;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11322;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2013;11500;12900;7;7;POINT (564402.000000 5944460.000000);EPSG:25832
DE.HH.UP_KFZ_TEMPORAERE_ZAEHLUNGEN_11323;0101970;Garstedter Weg SW Krohnstieg T372 DP3334;Querschnitt;2014;11600;13100;4;4;POINT (564402.000000 5944460.000000);EPSG:25832
