_fid;bezeichnung;zaehlstelle;zaehlzeit;art;jahr1984;jahr1985;jahr1986;jahr1987;jahr1988;jahr1989;jahr1990;jahr1991;jahr1992;jahr1993;jahr1994;jahr1995;jahr1996;jahr1997;jahr1998;jahr1999;jahr2000;jahr2001;jahr2002;jahr2003;jahr2004;jahr2005;jahr2006;jahr2007;jahr2008;jahr2009;jahr2010;jahr2011;jahr2012;jahr2013;jahr2014;jahr2015;jahr2016;jahr2017;jahr2018;jahr2019;jahr2020;jahr2021;geom;coordinate_reference_system
DE.HH.UP_RADVERKEHR_PEGEL_1;"Schulauer Weg W Tinsdaler Heideweg ";5018;7-9 + 13-18;manuelle Zählung;70;148;104;63;93;57;48;71;134;97;104;96;138;44;124;181;105;62;149;61;201;152;212;140;143;218;257;115;196;205;216;119;176;109;74;148;235;452;POINT (548841.242500 5935933.432900);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_2;Schenefelder Landstraße N Elbchaussee;5022;7-9 + 13-18;manuelle Zählung;195;323;269;167;146;230;131;191;342;164;207;204;316;312;102;89;231;188;367;261;339;208;525;318;155;244;234;190;408;236;287;298;275;227;261;283;401;545;POINT (554575.944600 5935056.687000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_3;Elbchaussee NW Schenefelder Landstraße;5031;7-9 + 13-18;manuelle Zählung;282;369;314;171;172;202;89;258;249;160;203;177;277;230;76;203;208;163;420;341;311;225;460;395;121;243;293;293;427;530;511;519;685;422;687;660;873;1074;POINT (554418.006700 5935009.708400);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_4;Bahrenfelder Chaussee NW Von-Sauer-Straße;5041;6-19;manuelle Zählung;742;710;785;571;657;608;867;851;845;647;914;907;589;715;750;520;651;362;906;845;726;914;902;729;815;981;1141;489;661;851;1079;1281;1655;977;1668;2501;1714;1911;POINT (560276.684200 5935629.364500);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_5;Wendlohstraße NO Frohmestraße;5053;7-9 + 13-18;manuelle Zählung;499;539;241;310;273;307;289;339;276;353;254;283;165;192;202;294;269;418;449;306;155;226;321;291;337;270;287;373;156;337;132;326;238;201;275;387;488;536;POINT (561626.265100 5942754.505000);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_6;Frohmestraße SO Wendlohstraße;5065;7-9 + 13-18;manuelle Zählung;1305;1088;854;825;637;511;571;736;623;644;474;514;311;504;503;735;678;613;802;617;184;702;585;768;920;683;836;812;583;663;323;624;725;733;1134;953;951;1319;POINT (561653.251500 5942585.571800);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_7;Frohmestraße W Schleswiger Damm;5078;7-9 + 13-18;manuelle Zählung;1913;1469;1244;1249;879;742;900;1038;827;881;715;619;356;663;659;937;961;928;1045;862;406;924;945;1081;1352;879;1033;1055;771;957;498;919;790;854;1158;1428;1315;1688;POINT (561454.332400 5942684.535700);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_8;Hudtwalckerstraße SW Sierichstraße;5087;7-9 + 13-18;manuelle Zählung;1639;687;1200;1380;1371;760;1124;1819;1302;1577;1366;1750;942;1087;1542;2074;1259;1690;1929;1356;1541;1488;2638;2107;1938;2352;1912;2528;1827;1392;4359;2203;3007;3879;4125;2793;4331;4692;POINT (565825.526600 5938749.030100);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_9;Hoheluftchaussee SO Eppendorfer Weg;5095;6-19;manuelle Zählung;2971;1821;2169;2131;2964;2301;3296;2894;3421;2502;3877;3333;2890;3058;2454;2636;2885;2476;3375;2852;2675;3189;3069;2874;3267;3551;4281;2434;3400;3176;3558;4051;4281;3273;2232;3512;5082;4966;POINT (564375.081900 5937414.585600);EPSG:25832
DE.HH.UP_RADVERKEHR_PEGEL_10;Schäferkampsallee NW Beim Schlump;5101;7-9 + 13-18;manuelle Zählung;676;755;791;570;949;1042;649;483;697;823;925;1105;952;880;374;1151;732;747;831;1413;1015;1788;1334;914;1879;1288;987;774;1594;1296;1751;1107;1827;1603;1752;1162;1864;1431;POINT (564223.116700 5935863.205800);EPSG:25832
