_fid;tensor;zaehlstelle;bezeichnung;dtv_2014;dtvw_2014;sv_am_dtvw_2014;anmerkung_2014;erhebungsmethode_2014;dtv_2015;dtvw_2015;sv_am_dtvw_2015;anmerkung_2015;erhebungsmethode_2015;dtv_2016;dtvw_2016;sv_am_dtvw_2016;anmerkung_2016;erhebungsmethode_2016;dtv_2017;dtvw_2017;sv_am_dtvw_2017;anmerkung_2017;erhebungsmethode_2017;dtv_2018;dtvw_2018;sv_am_dtvw_2018;anmerkung_2018;erhebungsmethode_2018;dtv_2019;dtvw_2019;sv_am_dtvw_2019;anmerkung_2019;erhebungsmethode_2019;dtv_2020;dtvw_2020;sv_am_dtvw_2020;anmerkung_2020;erhebungsmethode_2020;dtv_2021;dtvw_2021;sv_am_dtvw_2021;anmerkung_2021;erhebungsmethode_2021;dtv_2022;dtvw_2022;sv_am_dtvw_2022;anmerkung_2022;erhebungsmethode_2022;dtv_2023;dtvw_2023;sv_am_dtvw_2023;anmerkung_2023;erhebungsmethode_2023;dtv_2024;dtvw_2024;sv_am_dtvw_2024;anmerkung_2024;erhebungsmethode_2024;geom;coordinate_reference_system
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_1;371;101930;Krohnstieg NO Garstedter Weg;52600;57200;5;;;51200;55600;5;;;51300;55500;5;;;51600;55900;4;;;51500;55800;5;;;51100;55600;5;;Induktivschleife;42000;46100;5;;Induktivschleife;39300;43000;6;;Induktivschleife;46700;50100;5;;Induktivschleife;48100;51900;5;;Induktivschleife;49200;52700;4;;Induktivschleife;POINT (9.975572 53.645786);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_2;372;101970;Garstedter Weg SW Krohnstieg;11600;13100;4;;;12300;14000;4;;;13300;14900;5;;;12300;14000;4;;;12300;13900;4;;;12500;14000;4;;Induktivschleife;10400;11600;4;;Induktivschleife;9400;10600;5;;Induktivschleife;10000;11000;5;;Induktivschleife;9400;10500;;;Induktivschleife;9900;11000;4;;Induktivschleife;POINT (9.974236 53.644943);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_3;373;101980;Swebenweg W Krohnstieg;44000;47400;5;;;41500;44600;5;;;41200;44000;5;;;42100;45000;5;;;42100;45100;5;;;42000;45100;5;;Induktivschleife;34800;38000;5;;Induktivschleife;32800;35700;6;;Induktivschleife;39600;42300;5;;Induktivschleife;41800;44800;5;;Induktivschleife;42500;45200;4;;Induktivschleife;POINT (9.973855 53.645458);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_4;367;102920;Zeppelinstraße N Terminalzufahrten (UFu);45200;51100;5;;;45300;50900;4;;;45700;51400;4;;;46600;52400;4;;;46800;52500;4;;;46100;51700;4;;Induktivschleife;36000;40900;4;;Induktivschleife;35900;40100;5;;Induktivschleife;39400;43400;4;;Induktivschleife;41900;46200;4;;Induktivschleife;42700;46700;4;;Induktivschleife;POINT (10.009629 53.635823);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_5;2;103950;Kollaustraße SO Vogt-Cordes-Damm;51100;57100;3;;;51100;57300;4;;;51300;57400;4;;;52200;58700;4;;;51300;57500;4;;;51400;57300;4;;Induktivschleife;45100;50600;4;;Induktivschleife;44800;49900;4;;Induktivschleife;45800;50600;4;;Induktivschleife;46400;51100;4;;Induktivschleife;44900;49200;4;;Induktivschleife;POINT (9.952571 53.613270);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_6;344;104910;A23 NW AD Hamburg-Nordwest;84600;91400;11;Baustelleneinfluss, Daten nicht verwendbar;;81600;87000;11;Baustelleneinfluss, Daten nicht verwendbar;;76100;80800;12;Baustelleneinfluss, Daten nicht verwendbar;;73500;78200;12;Baustelleneinfluss, Daten nicht verwendbar;;75400;79700;10;Baustelleneinfluss, Daten nicht verwendbar;;77000;81200;9;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;83300;89600;8;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;55700;56600;10;Datenübernahme aus Straßenverkehrszählung des Bundes (SVZ);Manuelle Zählung;;;;;;;;;;Induktivschleife;;;;;;POINT (9.908967 53.617852);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_7;343;104930;A7 NO AD Hamburg-Nordwest;104500;110900;14;Baustelleneinfluss, Daten nicht verwendbar;;101100;107800;13;Baustelleneinfluss, Daten nicht verwendbar;;94800;100800;13;Baustelleneinfluss, Daten nicht verwendbar;;93600;99500;13;Baustelleneinfluss, Daten nicht verwendbar;;90500;95700;14;Baustelleneinfluss, Daten nicht verwendbar;;88300;93100;13;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;94900;102200;12;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;81200;89700;13;Datenübernahme aus Straßenverkehrszählung des Bundes (SVZ);Manuelle Zählung;;;;;;;;;;Induktivschleife;108700;114300;13;;Induktivschleife;POINT (9.915906 53.622015);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_8;342;104950;A7 SO AD Hamburg-Nordwest;133600;141900;15;Baustelleneinfluss, Daten nicht verwendbar;;130500;138700;15;Baustelleneinfluss, Daten nicht verwendbar;;125600;133300;15;Baustelleneinfluss, Daten nicht verwendbar;;120700;128200;15;Baustelleneinfluss, Daten nicht verwendbar;;120200;127000;15;Baustelleneinfluss, Daten nicht verwendbar;;120100;126500;14;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;114700;123500;13;Baustelleneinfluss, Daten nicht verwendbar;Manuelle Zählung;100300;107900;14;Datenübernahme aus Straßenverkehrszählung des Bundes (SVZ);Manuelle Zählung;;;;;;;;;;Induktivschleife;130000;137300;12;;Induktivschleife;POINT (9.916265 53.611378);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_9;10;105940;Luruper Hauptstraße O Engelbrechtweg (Landesgrenze);21200;24200;7;;;22500;25100;7;;;23000;25800;6;;;24200;27200;7;;;22700;25300;6;;;22100;24500;6;;Induktivschleife;20800;23200;7;;Induktivschleife;20500;22900;7;;Induktivschleife;21400;23700;7;;Induktivschleife;21400;23700;7;;Induktivschleife;21400;23500;6;;Induktivschleife;POINT (9.854463 53.598217);EPSG:4326
DE.HH.UP_VERKEHRSSTAERKEN_DTV_DTVW_10;11;106910;Fruchtallee NW Emilienstraße;48200;53400;6;;;48300;53500;6;;;49100;53600;6;;;48100;53200;5;;;45300;49800;6;Baustelleneinfluss, Daten nicht verwendbar;;46800;51500;6;Baustelleneinfluss, Daten nicht verwendbar;Induktivschleife;41100;46000;6;Baustelleneinfluss, Daten nicht verwendbar;Induktivschleife;41200;45900;6;Baustelleneinfluss, Daten nicht verwendbar;Induktivschleife;44300;48600;6;;Induktivschleife;46300;50300;6;;Induktivschleife;46700;50300;5;;Induktivschleife;POINT (9.952597 53.571462);EPSG:4326
